Product Name,Price,Rating & Reviews,Specification
"POCO X2 (Atlantis Blue, 64 GB)","₹15,999","19,601 Ratings & 2,616 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 730G ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO X2 (Atlantis Blue, 128 GB)","₹16,999","19,601 Ratings & 2,616 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 730G ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Realme 5i (Forest Green, 128 GB)","₹9,999","1,12,372 Ratings & 8,994 Reviews",4 GB RAM | 128 GB ROM |16.56 cm (6.52 inch) HD+ Display12MP + 8MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatterySM6125 ProcessorSunrise DesignReverse ChargingBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Blackbear B5 Nex,₹799,53 Ratings & 3 Reviews,64 MB RAM | 64 MB ROM | Expandable Upto 16 GB4.57 cm (1.8 inch) Display1.8MP Rear Camera1050 mAh Battery1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries form the date of purchase
"Realme C3 (Frozen Blue, 64 GB)","₹7,999","20,178 Ratings & 2,066 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display12MP + 2MP | 5MP Front Camera5000 mAh BatteryHelio G70 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi 8 (Sapphire Blue, 64 GB)","₹7,999","4,27,469 Ratings & 36,092 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP + 2MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO X2 (Phoenix Red, 128 GB)","₹16,999","19,601 Ratings & 2,616 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 730G ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Realme C2 (Diamond Ruby, 32 GB)","₹6,999","1,07,334 Ratings & 8,660 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek P22 Octa Core 2.0 GHz ProcessorDual Nano SIM slots and Memory Card SlotFace UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi 8A (Midnight Black, 32 GB)","₹6,499","1,11,491 Ratings & 8,581 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP Rear Camera | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi Note 7 Pro (Space Black, 64 GB)","₹9,999","7,72,425 Ratings & 68,356 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) Full HD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO X2 (Matrix Purple, 128 GB)","₹16,999","19,601 Ratings & 2,616 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 730G ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Realme C2 (Diamond Blue, 32 GB)","₹6,999","1,07,334 Ratings & 8,660 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek P22 Octa Core 2.0 GHz ProcessorDual Nano SIM slots and Memory Card SlotFace UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Realme C2 (Diamond Black, 32 GB)","₹6,999","1,07,334 Ratings & 8,660 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek P22 Octa Core 2.0 GHz ProcessorDual Nano SIM slots and Memory Card SlotFace UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Blackbear B5 Nex,₹799,53 Ratings & 3 Reviews,64 MB RAM | 64 MB ROM | Expandable Upto 16 GB4.57 cm (1.8 inch) Display1.8MP Rear Camera1050 mAh Battery1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries form the date of purchase
"Redmi 8A (Ocean Blue, 32 GB)","₹6,999","1,02,170 Ratings & 8,406 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP Rear Camera | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi 8A (Ocean Blue, 32 GB)","₹6,499","1,11,491 Ratings & 8,581 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP Rear Camera | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi 8A (Sunset Red, 32 GB)","₹6,999","1,02,170 Ratings & 8,406 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP Rear Camera | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO X2 (Phoenix Red, 64 GB)","₹15,999","19,601 Ratings & 2,616 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 730G ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO X2 (Phoenix Red, 256 GB)","₹19,999","5,875 Ratings & 819 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 730G ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Blackbear B5 Nex,₹799,53 Ratings & 3 Reviews,64 MB RAM | 64 MB ROM | Expandable Upto 16 GB4.57 cm (1.8 inch) Display1.8MP Rear Camera1050 mAh Battery1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries form the date of purchase
"Realme 5 (Crystal Blue, 32 GB)","₹8,999","2,23,008 Ratings & 19,069 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera5000 mAH BatteryQualcomm Snapdragon 665 2 GHz ProcessorFingerprintBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO X2 (Atlantis Blue, 256 GB)","₹19,999","5,875 Ratings & 819 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 730G ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Vivo Z1Pro (Sonic Black, 64 GB)","₹13,990","1,22,370 Ratings & 12,276 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) Full HD+ Display16MP + 2MP + 8MP | 32MP Front Camera5000 mAh BatteryQualcomm Snapdragon 712 AIE Octa Core 2.3GHz ProcessorFast ChargingTriple Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Vivo Z1Pro (Sonic Black, 64 GB)","₹12,990","3,06,856 Ratings & 31,375 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) Full HD+ Display16MP + 2MP + 8MP | 32MP Front Camera5000 mAh BatteryQualcomm Snapdragon 712 AIE Octa Core 2.3GHz ProcessorFast ChargingTriple Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
